SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 16177, 3026, 0, 142, 3, 0, 95304694, 5552633, 0, 
2, 15245, 5717, 0, 119, 2, 0, 192540450, 94983964, 0, 
3, 18672, 14946, 0, 119, 6, 0, 206446467, 172422904, 0, 
4, 26351, 33298, 0, 133, 15, 0, 250499585, 731776670, 0, 
5, 18722, 13667, 0, 113, 4, 0, 113340431, 259140210, 0, 
6, 49955, 108498, 0, 196, 13, 0, 824389138, 1678780852, 0, 
7, 57530, 202442, 0, 155, 44, 0, 794861210, -1061258104, 0, 
8, 62089, 20438, 0, 175, 8, 0, 707707587, 450479785, 0, 
9, 34652, 4471, 0, 95, 1, 0, 559806090, 198214302, 0, 
10, 63851, 136924, 0, 183, 9, 0, 659535736, -1098187820, 0, 
11, 63164, 44539, 0, 181, 7, 0, 514131654, 656142837, 0, 
12, 51616, 179011, 0, 154, 19, 0, 224842598, -1715051741, 0, 
13, 54974, 6056, 0, 141, 4, 0, 365800071, 23014350, 0, 
14, 43541, 13699, 0, 119, 4, 0, 348369444, 180013933, 0, 
15, 50225, 97047, 0, 179, 8, 0, 247664424, 574600788, 0, 
16, 34544, 425754, 0, 106, 79, 0, 305906310, -1765657285, 0, 
17, 59755, 32592, 0, 174, 4, 0, 419458804, 129934285, 0, 
18, 65213, 82720, 0, 190, 13, 0, 275414416, 609268348, 0, 
